Id,course_title,rating,num_subscribers,level,language,category,plataforma
data-scientists-tools,The Data Scientist’s Toolbox,4.5,420000.0,,English,Data Analysis,Coursera
data-scientists-tools,The Data Scientist’s Toolbox,4.5,420000.0,,English,Data Analysis,Coursera
animal-welfare,Animal Behaviour and Welfare,4.8,71000.0,All,,,Coursera
convolutional-neural-networks-tensorflow,Convolutional Neural Networks in TensorFlow,4.5,46000.0,,,,Coursera
positive-psychology-visionary-science,Positive Psychology: Martin E. P. Seligman’s Visionary Science,4.9,50000.0,,,,Coursera
cancer,Introduction to the Biology of Cancer,4.8,110000.0,,,,Coursera
convolutional-neural-networks,Convolutional Neural Networks,3.9,240000.0,,,,Coursera
python-network-data,Using Python to Access Web Data,4.7,310000.0,,,,Coursera
physiology,Introductory Human Physiology,4.8,270000.0,All,,,Coursera
systematic-review,Introduction to Systematic Review and Meta-Analysis,4.8,67000.0,,,,Coursera
communication-strategies-virtual-age,Communication Strategies for a Virtual Age,4.8,43000.0,Beginner,English,Leadership and Management,Coursera
moral-politics,Moral Foundations of Politics,4.9,100000.0,All,,,Coursera
etudier-en-france,Étudier en France: French Intermediate course B1-B2,4.8,190000.0,Intermediate,,,Coursera
finance-for-non-finance,Finance for Non-Finance Professionals,4.8,69000.0,,,,Coursera
site-reliability-engineering-slos,Site Reliability Engineering: Measuring and Managing Reliability,4.2,16000.0,Intermediate,English,Cloud Computing,Coursera
autism-spectrum-disorder,Autism Spectrum Disorder,4.6,56000.0,,,,Coursera
data-science-methodology,Data Science Methodology,4.3,89000.0,,,,Coursera
wharton-accounting,Introduction to Financial Accounting,4.8,200000.0,,,,Coursera
marketing-digital,Marketing in a Digital World,4.7,310000.0,,,,Coursera
financial-engineering-1,Financial Engineering and Risk Management Part I,4.4,100000.0,,,,Coursera
philosophy,Introduction to Philosophy,4.7,370000.0,,,,Coursera
python-basics,Python Basics,4.8,110000.0,,,,Coursera
sustainability,Introduction to Sustainability,4.8,69000.0,,,,Coursera
positive-psychiatry,Positive Psychiatry and Mental Health,4.8,72000.0,All,,,Coursera
teach-online,Learning to Teach Online,4.8,68000.0,Beginner,,,Coursera
it-security,IT Security: Defense against the digital dark arts,4.8,62000.0,,,,Coursera
neuromarketing,An Introduction to Consumer Neuroscience & Neuromarketing,4.6,69000.0,Beginner,,,Coursera
gamification,Gamification,4.8,110000.0,,,,Coursera
algorithms-divide-conquer,"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",,130000.0,,,,Coursera
contabilidad,Contabilidad para no contadores,4.8,220000.0,Beginner,,,Coursera
python-operating-system,Using Python to Interact with the Operating System,4.6,19000.0,Beginner,English,Support and Operations,Coursera
cs-fundamentals-1,Object-Oriented Data Structures in C++,4.6,21000.0,,,,Coursera
gcp-big-data-ml-fundamentals,Google Cloud Platform Big Data and Machine Learning Fundamentals,4.6,120000.0,,,,Coursera
sql-data-science,Databases and SQL for Data Science,4.4,110000.0,,,,Coursera
natural-language-processing-tensorflow,Natural Language Processing in TensorFlow,4.3,40000.0,,,,Coursera
advanced-valuation-and-strategy,"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",4.6,29000.0,Expert,,,Coursera
vital-signs,Vital Signs: Understanding What the Body Is Telling Us,4.8,190000.0,All,,,Coursera
research-methods,Understanding Research Methods,4.6,120000.0,,English,Research Methods,Coursera
research-methods,Understanding Research Methods,4.6,120000.0,,English,Research Methods,Coursera
ibm-customer-engagement-specialist,IBM Customer Engagement Specialist Professional Certificate,4.8,33000.0,,,,Coursera
introduction-to-calculus,Introduction to Calculus,4.9,53000.0,Intermediate,,,Coursera
camino-excelencia-gestion-proyectos,Camino a la Excelencia en Gestión de Proyectos,4.6,340000.0,Beginner,,,Coursera
html,Introduction to HTML5,4.0,220000.0,,,,Coursera
wine,Wine Tasting: Sensory Techniques for Wine Analysis,4.5,32000.0,,,,Coursera
excel-intermediate-1,Excel Skills for Business: Intermediate I,4.9,76000.0,Intermediate,English,Business Essentials,Coursera
excel-intermediate-1,Excel Skills for Business: Intermediate I,4.9,76000.0,Intermediate,English,Business Essentials,Coursera
duke-programming-web,"Programming Foundations with JavaScript, HTML and CSS",4.5,250000.0,Beginner,English,Mobile and Web Development,Coursera
build-a-computer,Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),4.9,95000.0,,,,Coursera
food-beverage-management,Food & Beverage Management,4.8,57000.0,All,,,Coursera
data-analysis-with-python,Data Analysis with Python,4.4,110000.0,,,,Coursera
uva-darden-getting-started-agile,Agile Meets Design Thinking,4.8,69000.0,Beginner,English,Design and Product,Coursera
aws-fundamentals-going-cloud-native,AWS Fundamentals: Going Cloud-Native,4.7,110000.0,,,,Coursera
construction-project-management,Construction Project Management,4.8,43000.0,,,,Coursera
mathematical-thinking,Introduction to Mathematical Thinking,4.8,270000.0,Intermediate,English,Math and Logic,Coursera
everyday-parenting,Everyday Parenting: The ABCs of Child Rearing,4.9,86000.0,Beginner,,,Coursera
machine-learning-with-python,Machine Learning with Python,4.5,120000.0,,,,Coursera
terrorism,Terrorism and Counterterrorism: Comparing Theory and Practice,4.8,90000.0,Beginner,,,Coursera
clinical-data-management,Data Management for Clinical Research,4.7,42000.0,Beginner,,,Coursera
instructional-design-foundations-applications,Instructional Design Foundations and Applications,3.9,12000.0,,,,Coursera
modern-art-ideas,Modern Art & Ideas,4.8,310000.0,,,,Coursera
speak-english-professionally,"Speak English Professionally: In Person, Online & On the Phone",4.7,430000.0,,,,Coursera
gcp-infrastructure-foundation,Essential Google Cloud Infrastructure: Foundation,4.7,83000.0,,,,Coursera
introduction-to-ai,Introduction to Artificial Intelligence (AI),4.7,44000.0,,,,Coursera
dog-emotion-and-cognition,Dog Emotion and Cognition,4.7,150000.0,All,,,Coursera
organizational-behavior,International Leadership and Organizational Behavior,4.8,41000.0,All,,,Coursera
sdgbusiness,Driving business towards the Sustainable Development Goals,4.9,56000.0,Beginner,,,Coursera
global-sustainable-development,"The Sustainable Development Goals – A global, transdisciplinary vision for the future",4.8,26000.0,Beginner,,,Coursera
nlp-sequence-models,Sequence Models,4.6,14000.0,,,,Coursera
entrepreneur-changement,Devenir entrepreneur du changement,4.7,54000.0,All,,,Coursera
wharton-entrepreneurship-opportunity,Entrepreneurship 1: Developing the Opportunity,4.8,86000.0,,,,Coursera
learn-speak-korean1,Learn to Speak Korean 1,4.9,120000.0,Beginner,,,Coursera
r-programming,R Programming,4.2,480000.0,,,,Coursera
money-banking,Economics of Money and Banking,4.9,83000.0,,,,Coursera
grammar-punctuation,Grammar and Punctuation,4.8,430000.0,,,,Coursera
japanese-1,Japanese for beginners 1,3.6,44000.0,,,,Coursera
dental-medicine-penn,Introduction to Dental Medicine,4.9,25000.0,Beginner,,,Coursera
fundamentals-of-reinforcement-learning,Fundamentals of Reinforcement Learning,4.7,22000.0,,,,Coursera
principles-of-macroeconomics,The Power of Macroeconomics: Economic Principles in the Real World,4.6,180000.0,,,,Coursera
corp-sustainability,Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,4.6,10000.0,All,,,Coursera
duke-behavioral-finance,Behavioral Finance,4.1,55000.0,All,,,Coursera
supply-chain-logistics,Supply Chain Logistics,4.7,66000.0,,,,Coursera
project-execution,Project Execution,3.7,70000.0,,,,Coursera
nutricion-obesidad-sobrepeso,Nutrición y obesidad: control de sobrepeso,4.8,100000.0,Beginner,,,Coursera
microeconomics,Microeconomics Principles,4.8,73000.0,Beginner,,,Coursera
craft-of-plot,Creative Writing: The Craft of Plot,4.6,120000.0,,,,Coursera
oilandgas,Oil & Gas Industry Operations and Markets,4.8,57000.0,All,,,Coursera
uva-darden-design-thinking-innovation,Design Thinking for Innovation,4.7,240000.0,,,,Coursera
learn-to-program,Learn to Program: The Fundamentals,4.7,180000.0,Beginner,,,Coursera
uva-darden-financial-accounting,Financial Accounting Fundamentals,4.8,65000.0,,,,Coursera
finding-purpose-and-meaning-in-life,Finding Purpose and Meaning In Life: Living for What Matters Most,4.8,36000.0,,,,Coursera
clinical-research,Understanding Clinical Research: Behind the Statistics,4.8,78000.0,All,,,Coursera
epidemiology,Epidemiology: The Basic Science of Public Health,4.7,130000.0,All,,,Coursera
fashion-design,Fashion as Design,4.8,180000.0,,,,Coursera
teamwork-skills-effective-communication,Teamwork Skills: Communicating Effectively in Groups,4.8,49000.0,,,,Coursera
feminism-social-justice,Feminism and Social Justice,4.8,18000.0,Beginner,,,Coursera
international-organizations-management,International Organizations Management,4.8,20000.0,Beginner,,,Coursera
estrategia-marketing-digital,Marketing Digital,4.7,81000.0,,,,Coursera
estrategia-marketing-digital,Marketing Digital,4.7,39000.0,,,,Coursera
gis,Fundamentals of GIS,4.9,86000.0,,,,Coursera
elearning,e-Learning Ecologies: Innovative Approaches to Teaching and Learning for the Digital Age,4.5,17000.0,,,,Coursera
excel-vba-for-creative-problem-solving-part-1,"Excel/VBA for Creative Problem Solving, Part 1",4.8,54000.0,Beginner,English,Algorithms,Coursera
excel-vba-for-creative-problem-solving-part-1,"Excel/VBA for Creative Problem Solving, Part 1",4.8,54000.0,Beginner,English,Algorithms,Coursera
international-taxation,Rethinking International Tax Law,4.9,36000.0,,,,Coursera
understanding-visualization-data,Understanding and Visualizing Data with Python,4.5,30000.0,,,,Coursera
data-visualization-tableau,Fundamentals of Visualization with Tableau,4.3,81000.0,,,,Coursera
sas-programming-basics,Getting Started with SAS Programming,4.9,22000.0,,,,Coursera
uol-machine-learning-for-all,Machine Learning for All,4.7,19000.0,,,,Coursera
python-databases,Using Databases with Python,4.7,220000.0,,,,Coursera
addiction-treatment,Addiction Treatment: Clinical Skills for Healthcare Providers,4.9,92000.0,Beginner,,,Coursera
dino101,Dino 101: Dinosaur Paleobiology,4.9,35000.0,Beginner,,,Coursera
sports-marketing,Sports Marketing,4.7,12000.0,Intermediate,,,Coursera
positive-psychology,Positive Psychology,4.7,180000.0,,,,Coursera
matlab,Introduction to Programming with MATLAB,4.8,270000.0,,,,Coursera
managing-human-resources,Preparing to Manage Human Resources,4.8,68000.0,,,,Coursera
solar-energy-basics,Solar Energy Basics,4.8,17000.0,,,,Coursera
bootstrap-4,Front-End Web UI Frameworks and Tools: Bootstrap 4,4.8,89000.0,,,,Coursera
google-cloud-java-spring,Building Scalable Java Microservices with Spring Boot and Spring Cloud,3.9,24000.0,,,,Coursera
forensic-science,Introduction to Forensic Science,4.8,47000.0,All,,,Coursera
contracts-1,American Contract Law I,4.9,18000.0,Beginner,,,Coursera
engineering-health-yoga-physiology,Engineering Health: Introduction to Yoga and Physiology,4.7,14000.0,,,,Coursera
ai-for-medical-diagnosis,AI for Medical Diagnosis,4.6,12000.0,,,,Coursera
electronics,Introduction to Electronics,4.7,110000.0,,,,Coursera
international-humanitarian-law,International Humanitarian Law in Theory and Practice,4.8,22000.0,Beginner,,,Coursera
making-architecture,Making Architecture,4.8,43000.0,,,,Coursera
model-thinking,Model Thinking,4.8,130000.0,All,,,Coursera
dyslexia-difficulties,Supporting children with difficulties in reading and writing,4.7,50000.0,,,,Coursera
innovation-management,Innovation Management,4.6,40000.0,Beginner,,,Coursera
people-management,The Manager's Toolkit: A Practical Guide to Managing People at Work,4.6,47000.0,All,,,Coursera
modern-world,"The Modern World, Part One: Global History from 1760 to 1910",4.8,130000.0,Beginner,,,Coursera
edinburgh-music-theory,Fundamentals of Music Theory,,180000.0,Beginner,,,Coursera
supply-chain-principles,Supply Chain Principles,4.6,29000.0,,,,Coursera
gcp-infrastructure-core-services,Essential Google Cloud Infrastructure: Core Services,4.7,68000.0,,,,Coursera
weight-management-beyond-balancing-calories,Weight Management: Beyond Balancing Calories,4.7,34000.0,,,,Coursera
human-language,Miracles of Human Language: An Introduction to Linguistics,4.7,120000.0,Beginner,,,Coursera
java-programming,Java Programming: Solving Problems with Software,4.4,160000.0,,,,Coursera
motivate-people-teams,Inspiring and Motivating Individuals,4.8,85000.0,,,,Coursera
competencias-digitales-ofimatica,"Competencias digitales. Herramientas de ofimática (Microsoft Word, Excel, Power Point)",4.8,43000.0,Beginner,,,Coursera
healing-with-the-arts,Healing with the Arts,4.7,39000.0,,,,Coursera
wharton-people-analytics,People Analytics,4.5,84000.0,,,,Coursera
what-is-social,What is Social?,4.6,94000.0,,,,Coursera
ux-design-fundamentals,UX Design Fundamentals,4.8,25000.0,,,,Coursera
introclassicalmusic,Introduction to Classical Music,4.9,150000.0,All,,,Coursera
excel-data-analysis,Introduction to Data Analysis Using Excel,4.7,99000.0,,,,Coursera
international-criminal-law,Introduction to International Criminal Law,4.8,82000.0,All,,,Coursera
wharton-fintech-overview-payments-regulations,"FinTech: Foundations, Payments, and Regulations",4.6,12000.0,,,,Coursera
mythology,Greek and Roman Mythology,4.8,260000.0,All,,,Coursera
global-energy,Politics and Economics of International Energy,4.7,34000.0,Beginner,,,Coursera
uva-darden-continous-delivery-devops,Continuous Delivery & DevOps,4.5,26000.0,Beginner,English,Software Development,Coursera
english-principles,Teach English Now! Foundational Principles,4.9,81000.0,,,,Coursera
business-model,Business Model Innovation,4.7,13000.0,,,,Coursera
introtoux-principles-and-processes,Introduction to User Experience Principles and Processes,4.8,16000.0,,,,Coursera
beyond-the-sustainable-development-goals-addressing-sustainability-and-development,Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development,4.7,23000.0,,,,Coursera
process-mining,Process Mining: Data science in Action,4.7,39000.0,Intermediate,,,Coursera
immunologyfundamentalsimmunitybcells,Fundamentals of Immunology: Innate Immunity and B-Cell Function,4.8,18000.0,,,,Coursera
wharton-finance,Introduction to Corporate Finance,4.4,130000.0,,,,Coursera
global-diplomacy-un,Global Diplomacy: the United Nations in the World,4.7,29000.0,,,,Coursera
algorithmic-toolbox,Algorithmic Toolbox,4.5,220000.0,,,,Coursera
troubles-spectre-autisme-diagnostic,Troubles du spectre de l'autisme : diagnostic,4.9,54000.0,,,,Coursera
anatomy403-1x,Anatomy: Musculoskeletal and Integumentary Systems,4.8,20000.0,,,,Coursera
unraveling-the-cycling-city,Unraveling the Cycling City,,39000.0,,,,Coursera
crash-course-in-causality,A Crash Course in Causality:  Inferring Causal Effects from Observational Data,4.6,17000.0,,,,Coursera
business,English for Business and Entrepreneurship,4.9,230000.0,,,,Coursera
what-is-compliance,What is Compliance?,4.8,62000.0,,,,Coursera
getting-started-with-google-sheets,Getting Started with Google Sheets,4.6,18000.0,,,,Coursera
python-for-data-visualization,Data Visualization with Python,4.0,66000.0,,,,Coursera
negociacion,Negociación exitosa: Estrategias y habilidades esenciales (en español),4.8,95000.0,All,,,Coursera
decision-making,Data-driven Decision Making,4.5,120000.0,,,,Coursera
fe-exam,Fundamentals of Engineering Exam Review,4.4,49000.0,,,,Coursera
gender-sexuality,Gender and Sexuality: Diversity and Inclusion in the Workplace,4.7,14000.0,Beginner,,,Coursera
uva-darden-managerial-accounting,Managerial Accounting Fundamentals,4.9,11000.0,,,,Coursera
seo-fundamentals,Search Engine Optimization Fundamentals,4.7,47000.0,,,,Coursera
essentials-global-health,Essentials of Global Health,4.9,31000.0,All,,,Coursera
international-security-management,International Security Management,4.7,22000.0,Beginner,,,Coursera
aws-machine-learning,Getting Started with AWS Machine Learning,4.4,73000.0,,,,Coursera
arts-heritage,Arts and Heritage Management,4.8,15000.0,All,,,Coursera
einstein-relativity,Understanding Einstein: The Special Theory of Relativity,4.9,89000.0,Beginner,English,Physics and Astronomy,Coursera
einstein-relativity,Understanding Einstein: The Special Theory of Relativity,4.9,89000.0,Beginner,English,Physics and Astronomy,Coursera
einstein-relativity,Understanding Einstein: The Special Theory of Relativity,4.9,89000.0,Beginner,English,Physics and Astronomy,Coursera
reussir-le-changement,Réussir le Changement,4.4,33000.0,All,,,Coursera
equine,Equine Welfare and Management,4.9,72000.0,,,,Coursera
international-migrations,International migrations: a global issue,4.3,11000.0,,,,Coursera
web-development,Introduction to Web Development,4.7,76000.0,,,,Coursera
access-control-sscp,Access Controls,4.5,29000.0,,,,Coursera
initiating-planning,Engineering Project Management: Initiating and Planning,4.8,23000.0,,,,Coursera
