Id,course_title,is_paid,price,num_subscribers,level,content_duration,rating,language,category,anio_publicacion,ingreso_por_curso,plataforma,add_certificate,price_Certificate
312,Cryptocurrency (BTC & ETH) Investment & Trading Course 2017,Si,20,0.0,Beginner,2.5,3.3,English,Finance & Accounting,2017.0,0.0,Udemy,,
313,Best Practices in Corporate Budgeting,Si,50,0.0,Intermediate,2.0,4.0,English,Finance & Accounting,2017.0,0.0,Udemy,,
314,Financial Statement Auditing Cycles,Si,50,0.0,Intermediate,2.0,4.4,English,Finance & Accounting,2017.0,0.0,Udemy,,
315,Building a Balanced Scorecard,Si,50,0.0,Intermediate,2.0,4.4,English,Finance & Accounting,2017.0,0.0,Udemy,,
316,Forex how traders beat the markest with little experience,Si,100,0.0,All,1.0,4.0,English,Finance & Accounting,2017.0,0.0,Udemy,,
317,CFA Level 2- Quantitative Methods,Si,40,0.0,All,5.5,4.8,English,Finance & Accounting,2017.0,0.0,Udemy,,
318,Capital Market Road Map,Si,50,495.0,All,4.0,4.4,English,Finance & Accounting,2014.0,24750.0,Udemy,,
319,TRADING: 5K CHALLENGE,Si,55,375.0,Intermediate,1.0,3.4,English,Finance & Accounting,2015.0,20625.0,Udemy,,
320,Bitcoin - A Comprehensive Guide,Si,20,283.0,All,2.5,4.7,English,Finance & Accounting,2015.0,5660.0,Udemy,,
321,Forex Trading,Si,95,136.0,All,4.5,3.5,English,Finance & Accounting,2014.0,12920.0,Udemy,,
322,"The True ' Secret Sauce  For Stock Market Success""",Si,200,23.0,All,3.0,4.2,English,Finance & Accounting,2017.0,4600.0,Udemy,,
323,Bookkeeping to Command Senior Bookkeeping Wages,Si,55,683.0,All,4.5,4.5,English,Finance & Accounting,2015.0,37565.0,Udemy,,
324,Take Your Career to the Next Level with MBA Finance,Si,50,618.0,All,2.0,4.3,English,Finance & Accounting,2015.0,30900.0,Udemy,,
325,How to Read Financial Statements:  Build Financial Literacy.,Si,25,188.0,Beginner,1.5,4.5,English,Finance & Accounting,2014.0,4700.0,Udemy,,
326,Forex Trading Profitably,Si,20,512.0,All,0.6666666666666666,3.3,English,Finance & Accounting,2014.0,10240.0,Udemy,,
327,Bitcoin Trading 101,Si,95,302.0,All,2.0,4.2,English,Finance & Accounting,2015.0,28690.0,Udemy,,
328,IFRS Financial Reporting,Si,55,72.0,All,3.5,3.6,English,Finance & Accounting,2014.0,3960.0,Udemy,,
329,"SAP Crystal Reports:Master-Detail,Cross-Tab,Sub-Reports",Si,50,13.0,All,2.0,3.2,English,Finance & Accounting,2016.0,650.0,Udemy,,
330,What You Should Know to Become a Trader,Si,125,17.0,All,1.5,3.5,English,Finance & Accounting,2016.0,2125.0,Udemy,,
331,An Abundance Mindset: How to Craft Yours,Si,50,33.0,Beginner,4.5,4.4,English,Finance & Accounting,2016.0,1650.0,Udemy,,
332,Forex Trading Profit 183%p.a : Trend is Our Friend-ALGOTREND,Si,120,54.0,All,0.6,2.8,English,Finance & Accounting,2016.0,6480.0,Udemy,,
333,How to Build a Massive Retirement Plan from Scratch!,Si,200,1498.0,Beginner,2.0,4.2,English,Finance & Accounting,2015.0,299600.0,Udemy,,
334,Financial modeling: Build a forward looking financial model,Si,20,2317.0,All,2.0,4.4,English,Finance & Accounting,2015.0,46340.0,Udemy,,
335,Trading for Beginners - Entry Level,No,0,5077.0,Beginner,1.5,4.5,English,Finance & Accounting,2016.0,0.0,Udemy,,
336,Bitcoin or How I Learned to Stop Worrying and Love Crypto,No,0,65576.0,All,8.0,4.6,English,Finance & Accounting,2013.0,0.0,Udemy,,
337,Forex Basics,No,0,22344.0,Beginner,3.5,4.2,English,Finance & Accounting,2013.0,0.0,Udemy,,
338,FOREX : Learn Technical Analysis,Si,200,1199.0,All,18.0,4.2,English,Finance & Accounting,2016.0,239800.0,Udemy,,
