course_title,num_subscribers,level,category,language,price,content_duration,add_certificate,price_Certificate,is_paid,plataforma
Shakespeare's Life and Work,48938,Beginner,Humanities,English,0,672,Si,49,No,edX
Marketing Digital: Content & Community Manager,112623,Beginner,Communication,Spanish,0,840,Si,49,No,edX
Accounting and Finance,88243,Intermediate,Business & Management,English,0,1848,Si,150,No,edX
Computing in Python I: Fundamentals and Procedural Programming,141966,Beginner,Computer Science,English,0,840,Si,99,No,edX
"Nutrition, Exercise and Sports",51679,Intermediate,Food & Nutrition,English,0,1008,Si,49,No,edX
Becoming an Entrepreneur,104760,Beginner,Business & Management,English,0,1008,Si,69,No,edX
"Religion, Conflict and Peace",74060,Beginner,Humanities,English,0,1344,Si,49,No,edX
"Tangible Things: Discovering History Through Artworks, Artifacts, Scientific Specimens, and the Stuff Around You",61139,Beginner,Humanities,English,0,1680,Si,49,No,edX
Academic and Business Writing,322701,Beginner,Communication,English,0,1008,Si,49,No,edX
Data Science: Capstone,62803,Beginner,Data Analysis & Statistics,English,0,336,Si,99,No,edX
Basics of Computing and Programming,37045,Beginner,Computer Science,English,0,1512,Si,200,No,edX
"Fundamentals of Neuroscience, Part 2: Neurons and Networks",84874,Beginner,Biology & Life Sciences,English,0,1008,Si,99,No,edX
Successful Negotiation: Essential Strategies and Skills,31369,Beginner,Business & Management,English,0,1176,Si,49,No,edX
Data Science: Linear Regression,75310,Beginner,Data Analysis & Statistics,English,0,1344,Si,49,No,edX
HTML5 and CSS Fundamentals,335895,Beginner,Computer Science,English,0,1008,Si,199,No,edX
Data Science: Productivity Tools,66683,Beginner,Data Analysis & Statistics,English,0,1344,Si,49,No,edX
Introduction to Corporate Finance,98093,Beginner,Business & Management,English,0,672,Si,225,No,edX
Computer Science 101,39540,Beginner,Computer Science,English,0,1008,Si,149,No,edX
Data Science: Wrangling,64584,Beginner,Data Analysis & Statistics,English,0,1344,Si,49,No,edX
A Hands-on Introduction to Engineering Simulations,187138,Intermediate,Engineering,English,0,1008,Si,199,No,edX
AI for Everyone: Master the Basics,49340,Beginner,Computer Science,English,0,672,Si,49,No,edX
The Psychology of Criminal Justice,110086,Beginner,Humanities,English,0,1344,Si,99,No,edX
Machine Learning with Python: A Practical Introduction,80161,Beginner,Data Analysis & Statistics,English,0,840,Si,39,No,edX
Analyzing Data with Python,94079,Beginner,Data Analysis & Statistics,English,0,840,Si,39,No,edX
Excel: gestión de datos,111785,Intermediate,Computer Science,Spanish,0,1008,Si,75,No,edX
Probability - The Science of Uncertainty and Data,205615,Expert,Data Analysis & Statistics,English,0,2688,Si,300,No,edX
"Fundamentals of Neuroscience, Part 3: The Brain",85034,Beginner,Biology & Life Sciences,English,0,1344,Si,99,No,edX
Sikhism Through Its Scriptures,44125,Beginner,Humanities,English,0,672,Si,99,No,edX
Upper-Intermediate English: Business and Modern Life,77991,Intermediate,Language,English,0,672,Si,50,No,edX
Religious Literacy: Traditions and Scriptures,96972,Beginner,Humanities,English,0,672,Si,99,No,edX
Programación para todos (empezando con Python),81004,Beginner,Computer Science,Spanish,0,1176,Si,49,No,edX
Analyzing and Visualizing Data with Power BI,28879,Beginner,Data Analysis & Statistics,English,0,672,Si,99,No,edX
High-Dimensional Data Analysis,78443,Expert,Data Analysis & Statistics,English,0,672,Si,149,No,edX
Introduction To Music Theory,67029,Beginner,Humanities,English,0,1008,Si,49,No,edX
Human Anatomy,126850,Beginner,Medicine,English,0,1344,Si,139,No,edX
