course_title,num_subscribers,level,category,language,price,content_duration,add_certificate,price_Certificate,is_paid,plataforma
International Women's Health and Human Rights,9796,Beginner,Social Sciences,English,0,1680,Si,50,No,edX
Blockchain: Understanding Its Uses and Implications,66769,Beginner,Business & Management,English,0,2352,Si,199,No,edX
"A-level Mathematics for Year 12 - Course 1: Algebraic Methods, Graphs and Applied Mathematics Methods",22366,Intermediate,Math,English,0,1176,Si,49,No,edX
Blockchain Technology,55376,Intermediate,Computer Science,English,0,1008,Si,99,No,edX
Basics of Power BI,8314,Beginner,Data Analysis & Statistics,English,0,336,Si,49,No,edX
Preparing to Network in English,34337,Beginner,Language,English,0,1008,Si,149,No,edX
Mandarin Chinese Essentials,36665,Beginner,Language,English,0,840,Si,99,No,edX
Human Rights: The Rights of Refugees,84270,Beginner,Humanities,English,0,504,Si,49,No,edX
What do Architects and Urban Planners do?,11046,Beginner,Architecture,English,0,504,Si,49,No,edX
"U.S. Political Institutions: Congress, Presidency, Courts, and Bureaucracy",22723,Beginner,Social Sciences,English,0,672,Si,49,No,edX
Negotiation Skills and Effective Communication,8146,Intermediate,Business & Management,English,0,672,Si,149,No,edX
AP® English Literature & Composition – Part 1: Stories,15650,Beginner,Humanities,English,0,1176,Si,49,No,edX
"Viruses & How to Beat Them: Cells, Immunity, Vaccines",28710,Beginner,Medicine,English,0,1176,Si,149,No,edX
Alianzas: un vehículo para lograr el desarrollo sostenible,17554,Beginner,Social Sciences,Spanish,0,1680,Si,25,No,edX
Designing and Creating Skirts,13954,Beginner,Design,English,0,840,Si,99,No,edX
Cómo Aprender Online,7958,Beginner,Education & Teacher Training,Spanish,0,336,Si,49,No,edX
Computing in Python II: Control Structures,31511,Beginner,Computer Science,English,0,840,Si,99,No,edX
Facebook Ads: Cómo utilizar el poder de la publicidad en Facebook,29614,Beginner,Communication,Spanish,0,840,Si,49,No,edX
Machine Learning Fundamentals,82008,Expert,Data Analysis & Statistics,English,0,1680,Si,350,No,edX
Pre-University Calculus,103224,Beginner,Math,English,0,1344,Si,50,No,edX
Tsinghua Chinese: Start Talking with 1.3 Billion People,58834,Beginner,Language,English,0,1008,Si,49,No,edX
Deep Learning with Python and PyTorch,36195,Intermediate,Data Analysis & Statistics,English,0,1008,Si,99,No,edX
Diseña presentaciones eficaces con Powerpoint,36663,Beginner,Computer Science,Spanish,0,504,Si,50,No,edX
World of Wine: From Grape to Glass,81839,Beginner,Science,English,0,1008,Si,199,No,edX
Sustainable Cities,16619,Intermediate,Environmental Studies,English,0,1512,Si,49,No,edX
Introduction to Developmental Psychology,38060,Beginner,Humanities,English,0,1344,Si,99,No,edX
Creativity & Entrepreneurship,69413,Beginner,Business & Management,English,0,672,Si,49,No,edX
College Algebra and Problem Solving,103010,Beginner,Math,English,0,2520,Si,49,No,edX
Academic writing for clarity and meaning,16220,Beginner,Education & Teacher Training,English,0,336,Si,49,No,edX
Financial Development and Financial Inclusion,13853,Intermediate,Economics & Finance,English,0,1176,Si,25,No,edX
Global Public Health,17273,Intermediate,Health & Safety,English,0,1680,Si,49,No,edX
Embedded Systems - Shape The World: Microcontroller Input/Output,69182,Intermediate,Computer Science,English,0,1344,Si,49,No,edX
Introduction to Animal Behaviour,42135,Beginner,Biology & Life Sciences,English,0,1008,Si,49,No,edX
Circular Economy: An Introduction,50240,Beginner,Business & Management,English,0,1176,Si,50,No,edX
Public Financial Management,23288,Intermediate,Economics & Finance,English,0,1344,Si,25,No,edX
Anatomy: Human Neuroanatomy,49319,Beginner,Biology & Life Sciences,English,0,1344,Si,49,No,edX
Android: Introducción a la Programación,85786,Beginner,Computer Science,Spanish,0,1680,Si,50,No,edX
The Ancient Greek Hero,51744,Beginner,Humanities,English,0,3024,Si,99,No,edX
Agile Leadership Principles and Practices,31838,Expert,Engineering,English,0,672,Si,199,No,edX
How to Code: Simple Data,98113,Beginner,Computer Science,English,0,1176,Si,125,No,edX
Cybersecurity and Privacy in the IoT,21440,Beginner,Computer Science,English,0,840,Si,199,No,edX
Strategic Management,71085,Beginner,Business & Management,English,0,840,Si,150,No,edX
Introducción a la ciencia de datos y sus aplicaciones,7303,Beginner,Data Analysis & Statistics,Spanish,0,1008,Si,39,No,edX
"Biochemistry: Biomolecules, Methods, and Mechanisms",18692,Intermediate,Biology & Life Sciences,English,0,2016,Si,150,No,edX
Astronomía Virtual,10500,Beginner,Science,Spanish,0,1176,Si,29,No,edX
Nutrition and Cancer,27144,Intermediate,Food & Nutrition,English,0,840,Si,99,No,edX
Build your very first iOS app,31570,Beginner,Computer Science,English,0,1344,Si,149,No,edX
Object-Oriented Programming,93633,Beginner,Computer Science,English,0,672,Si,149,No,edX
Introduction to Jenkins,7233,Beginner,Computer Science,English,0,1680,Si,199,No,edX
Conducting an Informational Interview,15594,Beginner,Language,English,0,1344,Si,99,No,edX
Liderazgo y comportamiento organizacional,21419,Beginner,Business & Management,Spanish,0,672,Si,149,No,edX
Creative Coding,18660,Beginner,Design,English,0,2352,Si,249,No,edX
Análisis estadístico con Excel,22717,Beginner,Data Analysis & Statistics,Spanish,0,672,Si,49,No,edX
Introducción a la Ingeniería del Software,17931,Beginner,Computer Science,Spanish,0,840,Si,49,No,edX
Computer Graphics,98553,Intermediate,Computer Science,English,0,1008,Si,99,No,edX
Data Science: Computational Thinking with Python,78232,Beginner,Computer Science,English,0,840,Si,199,No,edX
Comunicación efectiva para el líder actual,18470,Beginner,Communication,Spanish,0,672,Si,149,No,edX
Debate y argumentación,10954,Beginner,Humanities,Spanish,0,672,Si,49,No,edX
Deep Learning with Tensorflow,37564,Intermediate,Data Analysis & Statistics,English,0,840,Si,99,No,edX
Machine Learning (aprendizaje automático) con Python: una introducción práctica,39155,Beginner,Computer Science,Spanish,0,840,Si,49,No,edX
Essential Human Biology: Cells and Tissues,67961,Beginner,Medicine,English,0,840,Si,169,No,edX
"Writing, Presenting and Submitting Scientific Papers in English | 英文科技论文写作与学术报告",35720,Intermediate,Communication,English,0,840,Si,49,No,edX
Computing in Python III: Data Structures,27239,Beginner,Computer Science,English,0,840,Si,99,No,edX
Introduction to Internet of Things (IoT),6703,Beginner,Data Analysis & Statistics,English,0,336,Si,49,No,edX
Nutrition and Health: Food Risks,51493,Beginner,Biology & Life Sciences,English,0,1344,Si,49,No,edX
Mechanics: Kinematics and Dynamics,35529,Intermediate,Physics,English,0,2016,Si,49,No,edX
Storytelling for Social Change,30313,Beginner,Communication,English,0,840,Si,49,No,edX
Introduction to Data Analytics for Managers,39113,Beginner,Business & Management,English,0,1008,Si,49,No,edX
Qualitative Research Methods: Conversational Interviewing,21972,Intermediate,Humanities,English,0,504,Si,49,No,edX
International Project Management,45145,Expert,Business & Management,English,0,1512,Si,150,No,edX
Software Development Fundamentals,51402,Intermediate,Computer Science,English,0,672,Si,149,No,edX
"First Nights - Stravinsky’s Rite of Spring: Modernism, Ballet, and Riots",17484,Beginner,Humanities,English,0,504,Si,49,No,edX
Critical Thinking & Problem Solving,6558,Beginner,Communication,English,0,504,Si,199,No,edX
Data Analysis Essentials,42262,Beginner,Business & Management,English,0,1008,Si,79,No,edX
Master Control in Supply Chain Management and Logistics,31326,Beginner,Business & Management,English,0,1176,Si,49,No,edX
Work and Employment for a Sustainable Future,6528,Intermediate,Economics & Finance,English,0,1008,Si,49,No,edX
Foundations of Data Structures,54075,Intermediate,Computer Science,English,0,1008,Si,149,No,edX
"Financial Programming and Policies, Part 1: Macroeconomic Accounts & Analysis",31024,Intermediate,Economics & Finance,English,0,1008,Si,25,No,edX
IoT System Design: Software and Hardware Integration,13608,Intermediate,Computer Science,English,0,672,Si,99,No,edX
English for Doing Business in Asia – Writing,44252,Beginner,Humanities,English,0,1176,Si,60,No,edX
Working in Teams: A Practical Guide,43981,Beginner,Humanities,English,0,672,Si,49,No,edX
Introducción a los encofrados y las cimbras en obra civil y edificación,16029,Beginner,Engineering,Spanish,0,672,Si,50,No,edX
AI Chatbots without Programming,35440,Beginner,Computer Science,English,0,336,Si,99,No,edX
Introducción a la Ciencia de Datos y el Big Data,16268,Intermediate,Data Analysis & Statistics,Spanish,0,672,Si,49,No,edX
Just Money: Banking as if Society Mattered,25553,Beginner,Business & Management,English,0,2688,Si,49,No,edX
Introducción a R,6431,Beginner,Data Analysis & Statistics,Spanish,0,672,Si,49,No,edX
Computing in Python IV: Objects & Algorithms,28112,Beginner,Computer Science,English,0,840,Si,99,No,edX
Adobe Illustrator: aprende a crear presentaciones de impacto,18613,Beginner,Design,Spanish,0,840,Si,15,No,edX
Teaching Critical Thinking through Art with the National Gallery of Art,18595,Beginner,Education & Teacher Training,English,0,2688,Si,25,No,edX
Word intermedio: herramientas de formato y productividad,10265,Intermediate,Computer Science,Spanish,0,1008,Si,50,No,edX
Introducción a las finanzas: Principios de valoración,17344,Intermediate,Economics & Finance,Spanish,0,672,Si,49,No,edX
Aprende a diseñar jardines verticales y cuadros vivos,6341,Beginner,Biology & Life Sciences,Spanish,0,672,Si,29,No,edX
"Anatomy: Cardiovascular, Urinary, and Respiratory Systems",36917,Beginner,Biology & Life Sciences,English,0,672,Si,49,No,edX
Software Engineering: Introduction,35524,Expert,Computer Science,English,0,1008,Si,125,No,edX
Structure of Materials,13042,Intermediate,Engineering,English,0,2688,Si,150,No,edX
Fundamentos de fotografía documental,13036,Beginner,Art & Culture,Spanish,0,1008,Si,49,No,edX
AP® Italian Language and Culture (2020-2021),39398,Expert,Humanities,Italian,0,2016,Si,49,No,edX
Computer Hardware and Operating Systems,9715,Beginner,Computer Science,English,0,1008,Si,150,No,edX
Marketing Management,43415,Expert,Business & Management,English,0,1176,Si,214,No,edX
You Can Innovate: User  Innovation & Entrepreneurship,18974,Beginner,Business & Management,English,0,1680,Si,49,No,edX
Analytics in Python,82210,Intermediate,Business & Management,English,0,2016,Si,249,No,edX
Bases Matemáticas: Álgebra,35811,Beginner,Math,Spanish,0,672,Si,50,No,edX
HTML5 Apps and Games,86850,Expert,Computer Science,English,0,672,Si,199,No,edX
MATLAB and Octave for Beginners,68706,Beginner,Computer Science,English,0,672,Si,139,No,edX
AP Physics 1,43401,Beginner,Physics,English,0,3024,Si,49,No,edX
The Divine Comedy: Dante's Journey to Freedom,12005,Beginner,Humanities,English,0,1344,Si,49,No,edX
Linux Basics: The Command Line Interface,32726,Beginner,Computer Science,English,0,1176,Si,49,No,edX
Entrepreneurial Operations: Launching a Startup,23808,Intermediate,Business & Management,English,0,672,Si,149,No,edX
Maths Essentials,44642,Beginner,Business & Management,English,0,1008,Si,79,No,edX
"Marketing Analytics: Products, Distribution and Sales",50588,Intermediate,Computer Science,English,0,672,Si,249,No,edX
Marketing Innovative Products and Services,6293,Beginner,Business & Management,English,0,672,Si,149,No,edX
Just Reading and Writing in English | 生活英语读写,33303,Beginner,Art & Culture,English,0,2520,Si,149,No,edX
Introduction to Java Programming – Part 1,270376,Beginner,Computer Science,English,0,840,Si,99,No,edX
Comunicación y Redacción Digital,7165,Beginner,Communication,Spanish,0,672,Si,29,No,edX
Monetary Policy Analysis and Forecasting,6616,Expert,Economics & Finance,English,0,1008,Si,25,No,edX
Basic Analytical Chemistry,19010,Beginner,Chemistry,English,0,1008,Si,49,No,edX
Identifying Entrepreneurial Opportunities,11922,Beginner,Business & Management,English,0,672,Si,149,No,edX
"ChinaX Book Club: Five Authors, Five Books, Five Views of China",5855,Beginner,Literature,English,0,840,Si,139,No,edX
Astrophysics: Cosmology,83322,Intermediate,Physics,English,0,1680,Si,50,No,edX
Japanese Culture and Language (I) |日语与日本文化（1）,18489,Beginner,Art & Culture,Chinese,0,1680,Si,139,No,edX
COVID-19 Training for Healthcare Workers,5742,Beginner,Medicine,English,0,336,Si,10,No,edX
The Rise of Superheroes and Their Impact On Pop Culture,31368,Beginner,Humanities,English,0,1008,Si,50,No,edX
Introduction to Aeronautical Engineering,99971,Beginner,Engineering,English,0,1176,Si,50,No,edX
Diseño de Jardines,5683,Beginner,Biology & Life Sciences,Spanish,0,672,Si,29,No,edX
"Introducción al griego clásico: lengua, nombres y mitología",18849,Beginner,Language,Spanish,0,840,Si,49,No,edX
Deep Learning Fundamentals with Keras,32140,Intermediate,Data Analysis & Statistics,English,0,840,Si,99,No,edX
Existential Well-being Counseling: A Person-centered Experiential Approach,48439,Beginner,Humanities,English,0,2016,Si,49,No,edX
Solid Waste Management,7668,Beginner,Environmental Studies,English,0,1008,Si,5,No,edX
Retail Fundamentals,37558,Intermediate,Business & Management,English,0,672,Si,99,No,edX
Greatest Unsolved Mysteries of the Universe,93965,Intermediate,Physics,English,0,1512,Si,50,No,edX
"Money Markets, Foreign Exchange and Time Value of Money",12230,Beginner,Economics & Finance,English,0,672,Si,199,No,edX
Gestión de Contenidos Digitales y Marketing Turístico de Ciudad,14627,Beginner,Communication,Spanish,0,672,Si,49,No,edX
Designing the User Experience,6416,Beginner,Business & Management,English,0,672,Si,199,No,edX
Introduction to Bioconductor,36370,Intermediate,Data Analysis & Statistics,English,0,672,Si,149,No,edX
Connected Strategy,10355,Intermediate,Business & Management,English,0,1008,Si,199,No,edX
Hybrid Vehicles,18294,Expert,Engineering,English,0,1008,Si,249,No,edX
First Nights - Handel's Messiah and Baroque Oratorio,18029,Beginner,Humanities,English,0,504,Si,49,No,edX
Statistical Inference and Modeling for High-throughput Experiments,51590,Intermediate,Data Analysis & Statistics,English,0,672,Si,149,No,edX
First Nights - Monteverdi’s L’Orfeo and the Birth of Opera,13300,Beginner,Humanities,English,0,504,Si,49,No,edX
18th-Century Opera: Handel & Mozart,18331,Beginner,Music,English,0,840,Si,99,No,edX
Introduction to video game development with Unity,7605,Intermediate,Computer Science,English,0,1008,Si,50,No,edX
Best Practices for Project Management Success,46610,Intermediate,Business & Management,English,0,1848,Si,150,No,edX
Fundamentos de la Tecnología Blockchain,5473,Beginner,Economics & Finance,Spanish,0,840,Si,49,No,edX
Información financiera y su análisis,5473,Expert,Economics & Finance,Spanish,0,672,Si,49,No,edX
Coaching Skills for Learner-Centred Conversations,8089,Beginner,Education & Teacher Training,English,0,672,Si,49,No,edX
Intellectual Property Law and Policy: Part 1,43993,Intermediate,Law,English,0,1008,Si,169,No,edX
Robotics,68199,Expert,Computer Science,English,0,1680,Si,249,No,edX
La gestion des ressources humaines,6824,Beginner,Business & Management,French,0,1176,Si,99,No,edX
Writing for Social Justice,9927,Beginner,Humanities,English,0,672,Si,50,No,edX
Steps in Japanese for Beginners1 Part2,8080,Beginner,Language,English,0,840,Si,99,No,edX
Case Studies in Functional Genomics,26850,Expert,Data Analysis & Statistics,English,0,840,Si,149,No,edX
Essential Career Skills for Investment Banking and Finance,11655,Beginner,Business & Management,English,0,336,Si,49,No,edX
Data Structures and Software Design,30609,Intermediate,Computer Science,English,0,672,Si,149,No,edX
Unconscious Bias: From Awareness to Action,26659,Beginner,Communication,English,0,504,Si,49,No,edX
Cybersecurity for Critical Urban Infrastructure,5306,Expert,Computer Science,English,0,672,Si,100,No,edX
"Agile Process, Project, and Program Controls",16339,Expert,Engineering,English,0,672,Si,199,No,edX
Risk Management in Development Projects,13263,Intermediate,Business & Management,English,0,1680,Si,25,No,edX
"Pintura europea: Leonardo, Rembrandt, Goya",32635,Beginner,Humanities,Spanish,0,1176,Si,29,No,edX
Risk & Return,21970,Beginner,Business & Management,English,0,672,Si,225,No,edX
Project Management of Engineering Projects: Preparing for Success,42834,Intermediate,Business & Management,English,0,1680,Si,99,No,edX
Supply Chain Dynamics,75464,Expert,Business & Management,English,0,2184,Si,299,No,edX
AWS Developer: Building on AWS,54249,Expert,Computer Science,English,0,1008,Si,149,No,edX
Financial Accounting Made Fun: Eliminating Your Fears,36787,Beginner,Business & Management,English,0,672,Si,199,No,edX
PredictionX: John Snow and the Cholera Epidemic of 1854,17713,Beginner,History,English,0,168,Si,25,No,edX
Gestión de operaciones,9512,Beginner,Business & Management,Spanish,0,1008,Si,119,No,edX
Microeconomics & Business,10962,Beginner,Economics & Finance,English,0,1344,Si,79,No,edX
Inteligencia artificial: Chatbots sin programación,5001,Beginner,Computer Science,Spanish,0,336,Si,49,No,edX
Diseño e innovación de modelo de negocios,7180,Expert,Business & Management,Spanish,0,672,Si,99,No,edX
Unlocking Investment and Finance in Emerging Markets and Developing Economies (EMDEs),29171,Beginner,Economics & Finance,English,0,672,Si,5,No,edX
Gestão de riscos em projetos,8771,Intermediate,Business & Management,Portuguese,0,1680,Si,25,No,edX
Vocal Recording Technology,52369,Beginner,Engineering,English,0,1008,Si,49,No,edX
IoT Sensors and Devices,33072,Beginner,Computer Science,English,0,840,Si,199,No,edX
Introducción a las tecnologías para la Educación,31533,Beginner,Computer Science,Spanish,0,840,Si,49,No,edX
Fundamentos de la guitarra eléctrica y acústica,13124,Beginner,Music,Spanish,0,1008,Si,49,No,edX
e-Learning on Digital Agriculture,6238,Beginner,Environmental Studies,English,0,840,Si,5,No,edX
Exploring GraphQL: A Query Language for APIs,9503,Beginner,Computer Science,English,0,1176,Si,149,No,edX
EmSAT English Preparation - Level 2,7346,Intermediate,Language,English,0,1008,Si,49,No,edX
The Data Science Method,7868,Beginner,Data Analysis & Statistics,English,0,1176,Si,39,No,edX
"Plato, Socrates, and the Birth of Western Philosophy | 西方哲学精神探源",21291,Beginner,Humanities,English,0,2688,Si,49,No,edX
"Cosmic Rays, Dark Matter, and the Mysteries of the Universe",12888,Intermediate,Physics,English,0,672,Si,49,No,edX
Macroeconomic Diagnostics,23408,Intermediate,Economics & Finance,English,0,1008,Si,25,No,edX
BioStatistics,14937,Beginner,Biology & Life Sciences,English,0,1344,Si,79,No,edX
Results-Based Project Management: Monitoring and Evaluation,32810,Intermediate,Business & Management,English,0,1344,Si,199,No,edX
Estrategias y estilos de negociación,12639,Beginner,Business & Management,Spanish,0,672,Si,149,No,edX
Políticas efectivas de desarrollo infantil,64387,Intermediate,Social Sciences,Spanish,0,1680,Si,25,No,edX
Alzheimer’s Disease & Dementia Care,5763,Intermediate,Medicine,English,0,840,Si,49,No,edX
Understanding Classroom Interaction,27114,Beginner,Education & Teacher Training,English,0,840,Si,49,No,edX
Sign Language Science: Emergence and Evolution of Sign Language,8313,Beginner,Language,English,0,672,Si,99,No,edX
International Humanitarian Law,31419,Expert,Law,English,0,2016,Si,150,No,edX
"Educación de calidad para todos: equidad, inclusión y atención a la diversidad",25111,Beginner,Education & Teacher Training,Spanish,0,1008,Si,49,No,edX
Introduction to Astrophysics,20802,Beginner,Physics,English,0,1176,Si,139,No,edX
Epidemics I,10618,Beginner,Medicine,English,0,840,Si,139,No,edX
Introducción a la genética y la evolución,15297,Beginner,Biology & Life Sciences,Spanish,0,504,Si,49,No,edX
Fundamentals of Macroeconomics,17820,Beginner,Economics & Finance,English,0,1008,Si,129,No,edX
"Blockchain and FinTech: Basics, Applications, and Limitations",22011,Beginner,Computer Science,English,0,1008,Si,199,No,edX
Molecular Biology - Part 2: Transcription and Transposition,18168,Expert,Biology & Life Sciences,English,0,1176,Si,99,No,edX
"One Planet, One Ocean",12166,Intermediate,Environmental Studies,English,0,1008,Si,49,No,edX
Reputation Management in a Digital World,39672,Intermediate,Communication,English,0,1008,Si,99,No,edX
Google Ads: publicidad efectiva,12084,Beginner,Business & Management,Spanish,0,840,Si,49,No,edX
Introducción a la energía solar fotovoltaica: El módulo fotovoltaico,14673,Intermediate,Engineering,Spanish,0,672,Si,50,No,edX
Computer Vision Fundamentals with Watson and OpenCV,7032,Beginner,Computer Science,English,0,2352,Si,99,No,edX
Japanese Business Management,14852,Intermediate,Business & Management,English,0,672,Si,129,No,edX
Fundamentos de logística,7397,Beginner,Engineering,Spanish,0,840,Si,29,No,edX
Sustainable Urban Development,45760,Beginner,Social Sciences,English,0,1176,Si,50,No,edX
Introduction to Biomedical Imaging,56485,Beginner,Medicine,English,0,2016,Si,99,No,edX
Introducción a la programación en Java: empezando a programar,23321,Beginner,Computer Science,Spanish,0,840,Si,49,No,edX
"Circuits and Electronics 2: Amplification, Speed, and Delay",9665,Intermediate,Electronics,English,0,840,Si,169,No,edX
China’s Political and Intellectual Foundations: From Sage Kings to Confucius,47083,Beginner,History,English,0,2520,Si,139,No,edX
Introduction to DevOps and Site Reliability Engineering,8697,Beginner,Computer Science,English,0,1680,Si,149,No,edX
Digital Transformation in Business,10118,Expert,Business & Management,English,0,1176,Si,214,No,edX
Designing and Creating Trousers,7544,Beginner,Design,English,0,840,Si,99,No,edX
Introducción a la teoría política: conceptos y grandes pensadores,11741,Beginner,Social Sciences,Spanish,0,1176,Si,59,No,edX
"Human Rights, Human Wrongs: Challenging Poverty, Vulnerability and Social Exclusion",11426,Intermediate,Social Sciences,English,0,1848,Si,49,No,edX
Industry 4.0: How to Revolutionize your Business,28404,Beginner,Business & Management,English,0,1008,Si,50,No,edX
Desafíos y oportunidades en la economía digital,47792,Beginner,Economics & Finance,Spanish,0,1680,Si,25,No,edX
Pensamiento crítico: toma de decisiones razonadas,16853,Beginner,Business & Management,Spanish,0,672,Si,149,No,edX
Sustainable Food Security: Crop Production,35367,Intermediate,Biology & Life Sciences,English,0,1008,Si,49,No,edX
Network and Security Foundations,7301,Beginner,Computer Science,English,0,1344,Si,299,No,edX
Cannabis Cultivation and Processing,7419,Beginner,Environmental Studies,English,0,504,Si,179,No,edX
"Data, Models and Decisions in Business Analytics",36289,Expert,Business & Management,English,0,2016,Si,249,No,edX
Data Structures Fundamentals,42381,Intermediate,Computer Science,English,0,1008,Si,99,No,edX
Shaping Work of the Future,22246,Beginner,Business & Management,English,0,1344,Si,49,No,edX
Introducción a la robótica e industria 4.0,7056,Beginner,Computer Science,Spanish,0,504,Si,49,No,edX
Fighting for Equality: 1950–2018,9274,Intermediate,History,English,0,1680,Si,50,No,edX
"Design Thinking: Ideation, Iteration and Communication",14629,Intermediate,Business & Management,English,0,1008,Si,299,No,edX
Crear música con tecnología,10961,Beginner,Music,Spanish,0,1008,Si,49,No,edX
Análisis de datos: Diseño y Visualización de Tableros,18368,Intermediate,Computer Science,Spanish,0,1344,Si,49,No,edX
Comunicación estratégica: gestión de crisis e imagen pública,7017,Beginner,Communication,Spanish,0,672,Si,49,No,edX
"Understanding Agribusiness, Value Chains, and Consumers in Global Food Systems",14052,Intermediate,Business & Management,English,0,672,Si,199,No,edX
Unlocking Information Security: Part II,6426,Intermediate,Computer Science,English,0,1008,Si,149,No,edX
Human Rights Defenders,27338,Beginner,Social Sciences,English,0,672,Si,49,No,edX
Product Design: The Delft Design Approach,87539,Intermediate,Business & Management,English,0,1176,Si,79,No,edX
Introduction to Psychology | 心理学概论,30731,Beginner,Philosophy & Ethics,Chinese,0,2184,Si,139,No,edX
Circuits and Electronics 3: Applications,9347,Intermediate,Electronics,English,0,1176,Si,169,No,edX
Vaccines: from smallpox to technologies of the future,6166,Intermediate,Medicine,English,0,1008,Si,49,No,edX
Le management,6273,Beginner,Business & Management,French,0,840,Si,149,No,edX
Circular Economy for a Sustainable Built Environment,8032,Intermediate,Architecture,English,0,1008,Si,50,No,edX
Agile Innovation and Problem Solving Skills,12667,Expert,Engineering,English,0,672,Si,199,No,edX
International Investment Law,23335,Expert,Law,English,0,1680,Si,150,No,edX
Animation and CGI Motion,36827,Expert,Computer Science,English,0,2016,Si,249,No,edX
Terrorism and Counterterrorism,28580,Beginner,Humanities,English,0,1176,Si,49,No,edX
Découvrir le marketing,30030,Intermediate,Business & Management,French,0,1680,Si,150,No,edX
Solar Energy: Photovoltaic (PV) Energy Conversion,38041,Expert,Engineering,English,0,2016,Si,250,No,edX
Introduction to Actuarial Science,52667,Beginner,Data Analysis & Statistics,English,0,1344,Si,49,No,edX
PredictionX: Lost Without Longitude,9114,Beginner,History,English,0,168,Si,49,No,edX
Information Technology Foundations,6388,Beginner,Computer Science,English,0,1008,Si,399,No,edX
Dealing with Power and Dynamics: Discover Your Leadership Style and Influence Stakeholders,16013,Intermediate,Business & Management,English,0,840,Si,125,No,edX
Instructional Design and Technology: Learning Theories,21296,Intermediate,Education & Teacher Training,English,0,1344,Si,299,No,edX
The Math of Data Science: Linear Algebra,6746,Intermediate,Math,English,0,1344,Si,159,No,edX
The Hardware of a Quantum Computer,20052,Intermediate,Physics,English,0,1008,Si,79,No,edX
Grabar y mezclar música,10856,Beginner,Music,Spanish,0,672,Si,49,No,edX
Herramientas para el Análisis de Big Data,8118,Intermediate,Data Analysis & Statistics,Spanish,0,672,Si,49,No,edX
Foundations of Central Bank Law,6169,Intermediate,Law,English,0,1008,Si,25,No,edX
C Programming: Modular Programming and Memory Management,18690,Beginner,Computer Science,English,0,1176,Si,49,No,edX
Enseñanza temprana de matemáticas y ciencias,8250,Beginner,Education & Teacher Training,Spanish,0,1680,Si,25,No,edX
Entrepreneurship 102: What can you do for your customer?,11275,Beginner,Business & Management,English,0,1680,Si,49,No,edX
Italian Language and Culture: Advanced (2019-2020),24667,Expert,Language,Italian,0,2016,Si,49,No,edX
Origins of the Human Mind,11812,Beginner,Science,English,0,840,Si,49,No,edX
Introduction to Geometry,61824,Beginner,Math,English,0,2352,Si,50,No,edX
The Future of Work: Preparing for Disruption,43125,Beginner,Economics & Finance,English,0,840,Si,5,No,edX
Clinical Reasoning Process,5367,Beginner,Medicine,English,0,1008,Si,149,No,edX
Datos para la efectividad de las políticas públicas,80425,Beginner,Data Analysis & Statistics,Spanish,0,1680,Si,25,No,edX
Media Law,7253,Beginner,Art & Culture,English,0,2352,Si,249,No,edX
Líderes para la Gestión en Seguridad Ciudadana y Justicia,12826,Intermediate,Social Sciences,Spanish,0,1680,Si,25,No,edX
"Diseña, fabrica y programa tu propio robot",25024,Beginner,Engineering,Spanish,0,1008,Si,75,No,edX
Pivoting to Online Teaching: Research and Practitioner Perspectives,5289,Beginner,Education & Teacher Training,English,0,1008,Si,139,No,edX
Circular Economy: An Interdisciplinary Approach,10281,Expert,Business & Management,English,0,1008,Si,149,No,edX
Calculus 1B: Integration,44669,Intermediate,Math,English,0,2520,Si,100,No,edX
Algorithmic Design and Techniques,40620,Intermediate,Computer Science,English,0,1008,Si,99,No,edX
Drinking Water Treatment,51918,Intermediate,Engineering,English,0,1176,Si,50,No,edX
Fundamentos de información financiera y contable,7789,Intermediate,Economics & Finance,Spanish,0,840,Si,49,No,edX
Les principes de la finance,44037,Intermediate,Business & Management,French,0,2184,Si,150,No,edX
Music Technology Foundations,34550,Beginner,Computer Science,English,0,1008,Si,169,No,edX
The Entrepreneurial Mindset,31077,Beginner,Business & Management,English,0,1008,Si,149,No,edX
"Anatomy: Gastrointestinal, Reproductive and Endocrine Systems",26453,Beginner,Biology & Life Sciences,English,0,840,Si,49,No,edX
Risk Management and Credit Principles,9028,Expert,Economics & Finance,English,0,1008,Si,199,No,edX
Steps in Japanese for Beginners1 Part3,6169,Beginner,Language,English,0,840,Si,99,No,edX
Structural Materials: Selection and Economics,9752,Beginner,Engineering,English,0,504,Si,50,No,edX
Algorithm Design and Analysis,39137,Intermediate,Computer Science,English,0,672,Si,149,No,edX
Mandarin Chinese for Business,12384,Intermediate,Language,English,0,1008,Si,149,No,edX
Bases Matemáticas: Números y terminología,26060,Intermediate,Math,Spanish,0,672,Si,50,No,edX
Arab-Islamic History: From Tribes to Empires,17321,Beginner,Humanities,English,0,1344,Si,149,No,edX
Human-Computer Interaction I: Fundamentals & Design Principles,9010,Beginner,Computer Science,English,0,1008,Si,99,No,edX
The Science of Parenting,37538,Beginner,Social Sciences,English,0,840,Si,49,No,edX
Inclusive Teaching: Supporting All Students in the College Classroom,9899,Beginner,Education & Teacher Training,English,0,1008,Si,49,No,edX
Analytics for Decision Making,31031,Beginner,Business & Management,English,0,672,Si,249,No,edX
Energy Principles and Renewable Energy,19520,Expert,Energy & Earth Sciences,English,0,2352,Si,375,No,edX
