Id,course_title,is_paid,price,num_subscribers,level,content_duration,rating,language,category,anio_publicacion,ingreso_por_curso,plataforma
765562,"Comprehensive Guide to Financial Markets, Investing &Trading",Si,60,4187,Beginner,9.0,4.4,English,Finance & Accounting,2016,251220,Udemy
165964,Stock Trading Ninja: Complete System For Trading Success,Si,155,9445,All,4.5,4.1,English,Finance & Accounting,2014,1463975,Udemy
855172,Hedge and Mutual Fund Careers: The Complete Guide,Si,200,3255,All,8.5,4.5,English,Finance & Accounting,2016,651000,Udemy
258232,Algorithmic Trading In Forex: Create Your First Forex Robot!,Si,185,7941,All,6.5,4.6,English,Finance & Accounting,2014,1469085,Udemy
994754,The Power Modeling Bootcamp: Advanced Excel in 10 Days,Si,150,1680,All,5.5,4.6,English,Office Productivity,2016,252000,Udemy
43319,Options Trading Basics (3-Course Bundle),Si,180,10100,Beginner,11.0,4.5,English,Finance & Accounting,2013,1818000,Udemy
408440,How to Win 97% of Your Options Trades,Si,125,5050,All,1.5,4.5,English,Finance & Accounting,2015,631250,Udemy
918688,How I Make Consistent Returns Trading Options,Si,200,2310,All,3.5,4.1,English,Finance & Accounting,2016,462000,Udemy
308694,"Forex Strategies: Kelly Criterion, Larry Williams and more!",Si,185,5528,All,3.0,4.7,English,Finance & Accounting,2015,1022680,Udemy
199450,"Elite Trend Trader: Learn To Trade Stocks, Options & Forex",Si,125,6451,All,5.0,4.0,English,Finance & Accounting,2014,806375,Udemy
401784,Options Trading Introduction: Day Trade Stock Options,Si,95,12394,Beginner,2.5,3.6,English,Finance & Accounting,2015,1177430,Udemy
1122792,The Almost Perfect Options Trading Strategy System - Unique,Si,200,1793,All,1.0,4.2,English,Finance & Accounting,2017,358600,Udemy
709500,Forex Trading -  Learn to Trade Forex Like the Banks,Si,20,3223,All,1.0,4.2,English,Finance & Accounting,2016,64460,Udemy
285638,Learn to Trade for Profit:Trading with Japanese Candlesticks,Si,60,16385,Beginner,3.0,4.2,English,Finance & Accounting,2014,983100,Udemy
1135126,The Most Powerful Options Spread Trading Front Ratio Spread,Si,200,1487,All,2.0,4.3,English,Finance & Accounting,2017,297400,Udemy
834558,What Finance Job is for You? Explanation of 14 Finance Roles,Si,200,2951,All,4.0,4.5,English,Finance & Accounting,2016,590200,Udemy
551968,The Blueprint for Successful Stock Trading,Si,120,2697,All,1.0,4.4,English,Finance & Accounting,2015,323640,Udemy
1005658,Trading for Beginners - Intermediate Level,Si,150,3979,Beginner,5.0,4.0,English,Finance & Accounting,2016,596850,Udemy
746432,Start Trading Stocks Using Technical Analysis!,Si,25,3190,All,4.0,4.7,English,Finance & Accounting,2016,79750,Udemy
1057242,Learn How to Set Up an Incubator Hedge Fund - Step-by-Step,Si,200,1406,Expert,1.5,4.4,English,Finance & Accounting,2017,281200,Udemy
284118,VPS for Forex Trading - Protect Your Forex Robots,Si,160,4252,All,2.0,4.7,English,Finance & Accounting,2014,680320,Udemy
302562,Introduction to Accounting: The Language of Business,Si,20,11958,Beginner,11.5,4.7,English,Finance & Accounting,2014,239160,Udemy
596598,Basic Excel for Basic Bookkeeping and Accounting,Si,95,7743,Beginner,1.5,4.0,English,Finance & Accounting,2015,735585,Udemy
860890,"Using 'The Greeks To Understand Options""",Si,50,2134,All,1.0,4.0,English,Finance & Accounting,2016,106700,Udemy
951050,Trading Options For Consistent Returns: Calendar Spreads,Si,200,1214,All,1.5,4.0,English,Finance & Accounting,2016,242800,Udemy
502772,The Complete Value Investing Course: A Proven Approach,Si,200,2146,All,4.5,4.4,English,Finance & Accounting,2015,429200,Udemy
1102462,FOREX Trading with Price Action,Si,195,484,Beginner,1.0,4.6,English,Finance & Accounting,2017,94380,Udemy
1062092,Emini ES Futures - Advanced Non Directional Options Trading,Si,200,1057,All,1.5,3.9,English,Finance & Accounting,2017,211400,Udemy
891484,Forex Trading - Advanced Fundamental Analysis,Si,20,1754,Intermediate,2.5,3.8,English,Finance & Accounting,2016,35080,Udemy
1217064,How To Invest With Tiny Capital In Stocks ?,Si,20,1239,Beginner,0.7,3.4,English,Finance & Accounting,2017,24780,Udemy
382204,Learn How To Successfully Trade Stocks: In 5 Simple Steps,Si,95,2493,All,9.5,4.5,English,Finance & Accounting,2015,236835,Udemy
308696,Forex MetaTrader 4: Master MT4 Like A Pro Forex Trader,Si,150,2602,Beginner,5.0,4.6,English,Finance & Accounting,2015,390300,Udemy
474928,Intermediate Options trading concepts for Stocks and Options,Si,40,2000,All,1.0,4.3,English,Finance & Accounting,2015,80000,Udemy
1148774,Options Trading 101: The Basics,No,0,1514,Beginner,0.55,4.4,English,Finance & Accounting,2017,0,Udemy
724062,Financial Statements Basics,Si,20,1374,Beginner,2.0,4.0,English,Finance & Accounting,2016,27480,Udemy
474212,High performance Stock Trading using key Options techniques,Si,40,2103,All,1.5,4.0,English,Finance & Accounting,2015,84120,Udemy
388164,Basics of Economics (College Level),Si,25,2516,All,1.5,4.2,English,Finance & Accounting,2015,62900,Udemy
133536,Stock Market Investing for Beginners,No,0,50855,Beginner,1.5,4.5,English,Finance & Accounting,2013,0,Udemy
655300,Accounting for Beginners : Learn Basics in under 1 Hour,Si,50,1971,Beginner,1.5,3.4,English,Finance & Accounting,2015,98550,Udemy
949504,Straddle Options Trading - Profit in Any Market Direction,Si,200,837,All,1.0,3.9,English,Finance & Accounting,2016,167400,Udemy
680044,"Binary Options: Trading Strategies, 90% Accuracy and Signals",Si,195,1723,Beginner,1.0,3.5,English,Finance & Accounting,2015,335985,Udemy
381330,Live Account - ETF Trading System - Hacking The Stock Market,Si,150,2318,All,5.0,4.4,English,Finance & Accounting,2014,347700,Udemy
545918,Stock Market Leverage: How to Start Trading Options Wisely,Si,95,2153,Beginner,1.5,3.7,English,Finance & Accounting,2015,204535,Udemy
191854,Stock Market Foundations,No,0,19339,Beginner,2.0,4.2,English,Finance & Accounting,2014,0,Udemy
866584,Advanced Accounting A Complete Study for CA / CMA / CFA / CS,Si,150,1535,All,62.0,4.3,English,Finance & Accounting,2016,230250,Udemy
889824,61% Profit In 1 Month - Crush Your Forex Trading Paradigm,Si,20,1027,All,1.5,4.4,English,Finance & Accounting,2016,20540,Udemy
671578,Forex SOS Course: Trading Tweaks And Working Forex Strategy,Si,50,1315,Beginner,2.5,4.3,English,Finance & Accounting,2015,65750,Udemy
151668,Introduction to Financial Modeling,No,0,29167,Intermediate,1.5,4.2,English,Finance & Accounting,2014,0,Udemy
44836,Option Spreads and Credit Spreads Bundle,Si,180,2212,Expert,4.5,4.4,English,Finance & Accounting,2013,398160,Udemy
1100054,FOREX TRADING - Learn in a quick + profitable way + support,Si,100,271,All,3.5,3.9,English,Finance & Accounting,2017,27100,Udemy
421054,Auditing Basics (Professional Course Level),Si,25,3771,All,2.5,4.6,English,Finance & Accounting,2015,94275,Udemy
528784,Stock market Investing Encyclopedia: How to invest in stocks,Si,200,3143,Intermediate,3.0,4.6,English,Finance & Accounting,2015,628600,Udemy
637430,Learn the basics of preparing accounting statements,Si,20,1951,Intermediate,0.55,4.7,English,Finance & Accounting,2015,39020,Udemy
